season,winner_rank_final_ep,winner_prob_final_ep,top1_accuracy,auc,n_finalists,best_trees
1.0,2,0.078,0,0.694,4,360
2.0,2,0.162,0,0.863,3,229
3.0,2,0.34,0,0.823,4,355
4.0,1,0.398,1,0.725,4,327
5.0,1,0.597,1,0.906,4,306
6.0,2,0.182,0,0.725,4,376
7.0,1,0.674,1,0.814,4,351
8.0,2,0.288,0,0.751,4,282
9.0,1,0.717,1,0.903,4,350
10.0,2,0.144,0,0.803,4,313
11.0,1,0.606,1,0.913,4,313
12.0,1,0.52,1,0.947,3,246
13.0,2,0.474,0,0.984,5,355
14.0,4,0.035,0,0.376,5,310
15.0,3,0.213,0,0.623,4,292
16.0,1,0.685,1,0.942,4,267
17.0,5,0.0,0,0.086,5,317
18.0,1,0.573,1,0.986,4,268
19.0,5,0.026,0,0.319,5,344
20.0,1,0.451,1,0.979,5,367
21.0,1,0.505,1,0.842,5,265
22.0,2,0.349,0,0.836,4,261
23.0,1,0.701,1,1.0,5,387
24.0,1,0.483,1,0.886,5,313
25.0,2,0.229,0,0.813,4,343
26.0,1,0.479,1,0.959,5,341
27.0,1,0.689,1,0.935,5,318
28.0,1,0.85,1,0.993,4,295
29.0,1,0.655,1,0.939,5,295
30.0,1,0.311,1,0.793,5,298
31.0,1,0.642,1,0.968,6,382
32.0,1,0.58,1,0.932,4,310
33.0,2,0.368,0,0.871,6,329
34.0,1,0.926,1,0.949,6,298
35.0,1,0.659,1,0.997,5,311
36.0,1,0.789,1,0.959,6,295
37.0,1,0.602,1,0.89,6,251
38.0,6,0.008,0,0.139,6,312
39.0,2,0.202,0,0.812,6,307
40.0,1,0.427,1,0.784,6,290
41.0,3,0.059,0,0.779,5,238
42.0,4,0.067,0,0.482,5,234
43.0,2,0.199,0,0.74,5,292
44.0,1,0.523,1,0.994,5,254
45.0,1,0.346,1,0.413,5,313
46.0,3,0.026,0,0.555,5,298
47.0,1,0.554,1,0.719,4,243
48.0,1,0.387,1,0.771,5,364
49.0,2,0.269,0,0.87,5,257
