episode,castaway_id,castaway,win_probability
1.0,US0554,Angelina,0.006452442
2.0,US0554,Angelina,0.011615371
3.0,US0554,Angelina,0.006288911
4.0,US0554,Angelina,0.012083691
1.0,US0477,Aubry,0.15667161
2.0,US0477,Aubry,0.25494334
3.0,US0477,Aubry,0.23107803
4.0,US0477,Aubry,0.27809235
5.0,US0477,Aubry,0.40067506
6.0,US0477,Aubry,0.59615874
7.0,US0477,Aubry,0.5853957
8.0,US0477,Aubry,0.522503
9.0,US0477,Aubry,0.45771953
10.0,US0477,Aubry,0.5124873
11.0,US0477,Aubry,0.6622873
12.0,US0477,Aubry,0.6893412
1.0,US0682,Charlie,0.0131035475
2.0,US0682,Charlie,0.009314216
3.0,US0682,Charlie,0.01016496
4.0,US0682,Charlie,0.01011545
1.0,US0515,Chrissy,0.02782095
2.0,US0515,Chrissy,0.032757103
3.0,US0515,Chrissy,0.037179783
4.0,US0515,Chrissy,0.03132583
5.0,US0515,Chrissy,0.021301895
6.0,US0515,Chrissy,0.023237655
7.0,US0515,Chrissy,0.031143924
1.0,US0550,Christian,0.0056247585
2.0,US0550,Christian,0.017370122
3.0,US0550,Christian,0.010655566
4.0,US0550,Christian,0.010703171
5.0,US0550,Christian,0.007678661
6.0,US0550,Christian,0.011782439
7.0,US0550,Christian,0.012848492
8.0,US0550,Christian,0.021888074
1.0,US0179,Cirie,0.03732995
2.0,US0179,Cirie,0.021640005
3.0,US0179,Cirie,0.011428196
4.0,US0179,Cirie,0.011917357
5.0,US0179,Cirie,0.009923922
6.0,US0179,Cirie,0.0073406636
7.0,US0179,Cirie,0.0075746146
8.0,US0179,Cirie,0.008691469
9.0,US0179,Cirie,0.008884621
10.0,US0179,Cirie,0.0113859875
11.0,US0179,Cirie,0.026898291
1.0,US0277,Coach,0.0011685794
2.0,US0277,Coach,0.0021379273
3.0,US0277,Coach,0.0012241774
4.0,US0277,Coach,0.0016068567
5.0,US0277,Coach,0.0020833127
6.0,US0277,Coach,0.0013175518
7.0,US0277,Coach,0.0056527187
1.0,US0031,Colby,0.007057323
2.0,US0031,Colby,0.0068700504
3.0,US0031,Colby,0.006929119
4.0,US0031,Colby,0.008014097
5.0,US0031,Colby,0.012996906
1.0,US0666,Dee,0.045892004
2.0,US0666,Dee,0.06308613
3.0,US0666,Dee,0.058332615
4.0,US0666,Dee,0.06574048
5.0,US0666,Dee,0.052192423
6.0,US0666,Dee,0.05253373
1.0,US0668,Emily,0.10312374
2.0,US0668,Emily,0.12680802
3.0,US0668,Emily,0.052975398
4.0,US0668,Emily,0.055452973
5.0,US0668,Emily,0.06230298
6.0,US0668,Emily,0.059508186
7.0,US0668,Emily,0.19253555
8.0,US0668,Emily,0.21336764
9.0,US0668,Emily,0.27985573
10.0,US0668,Emily,0.13202298
1.0,US0703,Genevieve,0.0027944588
2.0,US0703,Genevieve,0.003295905
3.0,US0703,Genevieve,0.002936829
4.0,US0703,Genevieve,0.0037653553
5.0,US0703,Genevieve,0.010090888
1.0,US0722,Joe,0.39500955
2.0,US0722,Joe,0.29445276
3.0,US0722,Joe,0.43772492
4.0,US0722,Joe,0.40519807
5.0,US0722,Joe,0.34507576
6.0,US0722,Joe,0.199187
7.0,US0722,Joe,0.090062045
8.0,US0722,Joe,0.14375575
9.0,US0722,Joe,0.17475003
10.0,US0722,Joe,0.2778777
11.0,US0722,Joe,0.23589179
12.0,US0722,Joe,0.2606175
1.0,US0615,Jonathan,0.011736102
2.0,US0615,Jonathan,0.028831856
3.0,US0615,Jonathan,0.026261453
4.0,US0615,Jonathan,0.021110028
5.0,US0615,Jonathan,0.012945052
6.0,US0615,Jonathan,0.01007664
7.0,US0615,Jonathan,0.016174106
8.0,US0615,Jonathan,0.01899531
9.0,US0615,Jonathan,0.015147439
10.0,US0615,Jonathan,0.009037186
11.0,US0615,Jonathan,0.029310051
12.0,US0615,Jonathan,0.028075904
1.0,US0724,Kamilla,0.012802454
2.0,US0724,Kamilla,0.014340903
3.0,US0724,Kamilla,0.012017774
4.0,US0724,Kamilla,0.018135466
5.0,US0724,Kamilla,0.010021729
1.0,US0555,Mike,0.00110827
2.0,US0555,Mike,0.0011092441
3.0,US0555,Mike,0.0009384806
1.0,US0201,Ozzy,0.0062421462
2.0,US0201,Ozzy,0.0051236
3.0,US0201,Ozzy,0.0043255487
4.0,US0201,Ozzy,0.0044143815
5.0,US0201,Ozzy,0.0037663425
6.0,US0201,Ozzy,0.004991448
7.0,US0201,Ozzy,0.009794589
8.0,US0201,Ozzy,0.013404898
9.0,US0201,Ozzy,0.012126299
10.0,US0201,Ozzy,0.010235376
1.0,US0691,Q,0.014670324
2.0,US0691,Q,0.01720943
1.0,US0560,Rick,0.028819729
2.0,US0560,Rick,0.033524364
3.0,US0560,Rick,0.026163988
4.0,US0560,Rick,0.023746189
5.0,US0560,Rick,0.012174092
6.0,US0560,Rick,0.016961263
7.0,US0560,Rick,0.027868193
8.0,US0560,Rick,0.03257053
9.0,US0560,Rick,0.030907298
10.0,US0560,Rick,0.03142775
11.0,US0560,Rick,0.029258873
1.0,US0745,Rizo,0.030923095
2.0,US0745,Rizo,0.048180908
3.0,US0745,Rizo,0.057262234
4.0,US0745,Rizo,0.032762483
5.0,US0745,Rizo,0.031818602
6.0,US0745,Rizo,0.01101613
7.0,US0745,Rizo,0.011062587
8.0,US0745,Rizo,0.012943017
9.0,US0745,Rizo,0.011665677
10.0,US0745,Rizo,0.009044645
11.0,US0745,Rizo,0.007424806
12.0,US0745,Rizo,0.009185249
1.0,US0747,Savannah,0.08747355
1.0,US0144,Stephenie,0.0017423191
2.0,US0144,Stephenie,0.0025730706
3.0,US0144,Stephenie,0.0027606136
4.0,US0144,Stephenie,0.0023071852
5.0,US0144,Stephenie,0.0014094316
6.0,US0144,Stephenie,0.0015050006
7.0,US0144,Stephenie,0.003472904
8.0,US0144,Stephenie,0.0045178435
9.0,US0144,Stephenie,0.004069975
1.0,US0695,Tiffany,0.0024331168
2.0,US0695,Tiffany,0.0048156846
